id,name,start_date,end_date,replaces,replaced_by
Q965247,Toaripi Lauti,1978-10-01,1981-09-08,,Q919316
Q919316,Tomasi Puapua,1981-09-08,1989-10-16,Q965247,Q126443
Q126443,Bikenibeu Paeniu,1989-10-16,1993-12-10,Q919316,Q739504
Q739504,Kamuta Latasi,1993-12-10,1996-12-24,Q126443,Q126443
Q126443,Bikenibeu Paeniu,1996-12-24,1999-04-27,Q739504,Q961043
Q961043,Ionatana Ionatana,1999-04-27,2000-12-08,Q126443,Q663723
Q663723,Lagitupu Tuilimu,2000-12-08,2001-02-24,Q961043,Q164931
Q164931,Faimalaga Luka,2001-02-24,2001-12-14,Q663723,Q965221
Q965221,Koloa Talake,2001-12-14,2002-08-24,Q164931,Q384322
Q384322,Saufatu Sopoanga,2002-08-24,2004-08-27,Q965221,Q287513
Q287513,Maatia Toafa,2004-08-27,2006-08-14,Q384322,Q316267
Q316267,Apisai Ielemia,2006-08-14,2010-09-29,Q287513,Q287513
Q287513,Maatia Toafa,2010-09-29,2010-12-24,Q316267,Q561559
Q561559,Willy Telavi,2010-12-24,2013-08-01,Q287513,Q330640
Q330640,Enele Sopoaga,2013-08-01,2019-09-19,Q561559,Q6378927
Q6378927,Kausea Natano,2019-09-19,,Q330640,
